Carga,Placa,Nº Pedido,Cód. Cliente,Nome Cliente,Grupo Cliente,Endereço de Entrega,Bairro de Entrega,Cidade de Entrega,Qtde. dos Itens,Peso dos Itens,Latitude,Longitude,Veiculo,Data Roteirizacao
,FTY6B82,3728454,8130,ROTISSERIA E C.DE C.BOI SOBERANDO LTDA,Nenhum,"Rua ITINGUCU, 771",VILA RE,São Paulo,8,160,-23.5243762,-46.5073607,78,2025-04-17 12:55:48
,FTY6B82,3728267,14268,SUPERMERCADO TRIALBA LTDA,Negreiros,"Rua Aricá -  Mirim, 63",Vila São Francisco,São Paulo,65,1300,-23.5245532,-46.4917133,78,2025-04-17 12:55:48
,FTY6B82,3728260,14267,SUPERMERCADO TRIALBA LTDA,Negreiros,"Rua AGENOR DE BARROS, 211",Vila Ponte Rasa,São Paulo,58,1150,-23.5088206,-46.4894631,78,2025-04-17 12:55:48
,FTY6B82,3728000,2605,SUPERVAREJÃO SAÚDE LTDA .,Varejao Saude,"Avenida Cangaiba, 2758",Cangaíba,São Paulo,6,115,-23.5042465,-46.5146739,78,2025-04-17 12:55:48
,FTY6B82,3728273,207890,SUPERMERCADO TRIALBA LTDA,Negreiros,"Avenida cangaiba, 1659",CANGAIBA,São Paulo,63,1255,-23.5087736,-46.5389309,78,2025-04-17 12:55:48
,FTY6B82,3727915,214253,VILA ZAIRA HORTIFRUTI LTDA,Rede Sitio Verde,"Rua CONSTANCIO COLALILO, 630",Vila Augusta,Guarulhos,5,95,-23.4830163,-46.5375843,78,2025-04-17 12:55:48
,FTY6B82,3728380,209731,CENTRAL DE CARNES CONEGO VALADAO,Nenhum,"Rua CONEGO VALADAO, 1143",GOPOUVA,Guarulhos,5,100,-23.4737032,-46.5448854,78,2025-04-17 12:55:48
,FTY6B82,3725436,201005,IDEAL UNION ALIMENTAÇÃO LTDA,Nenhum,"Rua INDUBEL, 259",VILA AEROPORTO,Guarulhos,5,100,-23.46278,-46.53333,78,2025-04-17 12:55:48
,FTY6B82,3727699,9958,AVÍCOLA E ROTISSERIE YUKIKO LTDA,Nenhum,"Rua PROFESSOR JOSE MUNHOZ, 34",Jardim Munhoz,Guarulhos,5,100,-23.46278,-46.53333,78,2025-04-17 12:55:48
,FTY6B82,3728369,204276,CENTRAL DE CARNES JARDIM CUMBICA LTDA,Rede Nobreza,"Rua PORTO VELHO, 708",JARDIM CUMBICA (JARDIM PRESIDE,Guarulhos,6,110,-23.46278,-46.53333,78,2025-04-17 12:55:48
,FTY6B82,3727948,181657,VILA ZAIRA HORTIFRUTI LTDA,Rede Sitio Verde,"Avenida ONZE DE AGOSTO, 256",Jd. Zaira,Guarulhos,6,115,-23.46278,-46.53333,78,2025-04-17 12:55:48
,FTY6B82,3728034,197521,BG LESTE ALIMENTOS LTDA,Nenhum,"Rodovia AYRTON SENNA DA SILVA, SN",VILA ANNY,Guarulhos,9,180,-23.46278,-46.53333,78,2025-04-17 12:55:48
,FTY6B82,3728073,205679,ESPETINHOS DO MINEIRO COMERCIO LTDA,Nenhum,"Rua HOLANDESA, 150",CIDADE JARDIM CUMBICA (JARDIM,Guarulhos,30,600,-23.46278,-46.53333,78,2025-04-17 12:55:48
,FTY6B82,3728386,802,COMERCIO DE ALIMENTOS ALVES E FARIAS LTD,Rede Parana,"Rua OSVALDO RAMOS, 100",Parque Mikail,Guarulhos,43,840,-23.46278,-46.53333,78,2025-04-17 12:55:48
,FTY6B82,3727796,198247,AVICOLA CAÇULA DO BAIRRO LTDA,Nenhum,"Rua CLOVIS, 22",JARDIM EUSONIA,Guarulhos,45,900,-23.46278,-46.53333,78,2025-04-17 12:55:48
,FTY6B82,3728340,205248,SUPERMERCADO KERALUX LTDA,Nenhum,"Rua BISPO E MARTINS, 4",JARDIM KERALUX,São Paulo,5,100,-23.481508,-46.4942037,78,2025-04-17 12:55:48
,FTY6B82,3728275,212532,ATACADO E AUTO SERVIÇO ESPERANÇA LTDA,Rede Esperança,"Avenida JOSE MIGUEL ACKEL, 1014",PARQUE INDUSTRIAL CUMBICA,Guarulhos,72,1440,-23.46667,-46.46667,78,2025-04-17 12:55:48
,FTY6B82,3728077,205675,VIVIANE RODRIGUES DE OLIVEIRA,Nenhum,"Avenida ANTONIO LOUZADA ANTUNES, 205",JARDIM PEDRO JOSE NUNES,São Paulo,15,225,-23.5021947,-46.4645312,78,2025-04-17 12:55:48
,FTY6B82,3727954,150941,COMERCIAL S ETELVINA LTDA EPP,Rede Combate,"Avenida dos Metarlugicos, 1111",Guaianazes,São Paulo,8,160,-23.54333,-46.41083,78,2025-04-17 12:55:48
,FTY6B82,3728390,205125,SIMONE DE SOUSA RODRIGUES,Nenhum,"Avenida NORDESTINA, 5834",Guaianazes,São Paulo,10,200,-23.54333,-46.41083,78,2025-04-17 12:55:48
,FTY6B82,3727848,10642,JOSELITO SOUZA SANTOS AÇOUGUE ME,Nenhum,"Rua MAXIMIANO BRANDÃO, 147",Guaianases,São Paulo,15,300,-23.54333,-46.41083,78,2025-04-17 12:55:48
,FTY6B82,3728368,214052,CENTRAL DE CARNES NOVA TIBURCIO LTDA,Nenhum,"Rua TIBURCIO DE SOUZA, 1416",Itaim Paulista,São Paulo,6,120,-23.5169989,-46.3889884,78,2025-04-17 12:55:48
,FTY6B82,3728279,205633,CENTER CARNES DORA LTDA,Nenhum,"Rua ITAJUIBE, 1819",Itaim,São Paulo,12,240,-23.5114891,-46.3839531,78,2025-04-17 12:55:48
,FTY6B82,3728108,1421,ROBERTO CAMARGO AÇOUGUE,Tonho,"Avenida SANTOS DUMONT, 466",Centro Velho,Ferraz de Vasconcelos,14,280,-23.54083,-46.36861,78,2025-04-17 12:55:48
,FTY6B82,3728355,227,CASA DE CARNES TONHO LTDA,Tonho,"Praça INDEPENDENCIA, 04",Centro,Ferraz de Vasconcelos,17,340,-23.5413194,-46.3682476,78,2025-04-17 12:55:48
,FTY6B82,3728360,213914,ROSELI K. F. PELINCEL,Nenhum,"Rua SEBASTIAO MOREIRA, 320",PARQUE PALMEIRAS,Suzano,7,140,-23.5425,-46.31083,78,2025-04-17 12:55:48
,FTY6B82,3728311,187600,GILNEY CARDOSO PEREIRA-AÇOUGUE,Nenhum,"Rua Edmilson Rodrigues Marcelino, 976",Cidade Miguel Brada,Suzano,8,160,-23.5425,-46.31083,78,2025-04-17 12:55:48
,FTY6B82,3728339,213480,MB DE L LEMOS LTDA,Nenhum,"Estrada PORTAO HONDA, 2211",Jardim Revista,Suzano,20,400,-23.5190644,-46.294243,78,2025-04-17 12:55:48
,FTY6B82,3728066,197502,BG NORTE ALIMENTOS LTDA,Nenhum,"Rodovia AYRTON SENNA DA SILVA, SN",JARDIM MARIA ELIZA,Itaquaquecetuba,6,120,-23.48611,-46.34833,78,2025-04-17 12:55:48
